# Final cluster catalogue of successfully downloaded clusters
# column 1: ID
# column 2: Name
# column 3: RA [deg]
# column 4: Dec [deg]
# column 5: cluster photometric redshift z_cl
# column 6: richness N_mem
# column 7: spectroscopic redshift of BCG (-1.0 if not available)
ID Name "RA [deg]" "Dec [deg]" z_cl Richness "BCG redshift"
213 HSCJ010923+005429 17.34617 0.908181 0.246 29.804 0.26427
214 HSCJ010936-001819 17.401968 -0.305332 0.286 19.864 -1.0
215 HSCJ011040+010400 17.66572 1.066737 0.174 18.867 0.17638
216 HSCJ011046+001142 17.691042 0.194885 0.4096 19.35 0.40533
217 HSCJ011128+015802 17.866442 1.967342 0.306 15.208 0.3384
218 HSCJ011130+005100 17.875219 0.849987 0.401 27.43 0.41456
219 HSCJ011132-000139 17.884498 -0.027368 0.2452 20.193 0.29634
220 HSCJ011149-002951 17.954202 -0.49749 0.1727 21.431 0.17899
221 HSCJ011204-004352 18.016891 -0.731061 0.1771 28.901 0.17939
222 HSCJ011229+005500 18.12236 0.916605 0.1781 20.678 -1.0
223 HSCJ011250+000319 18.207931 0.055172 0.23 15.801 0.24145
224 HSCJ011254+011732 18.224464 1.292327 0.362 27.863 -1.0
225 HSCJ011300+004719 18.249686 0.788595 0.334 20.061 -1.0
226 HSCJ011333+010628 18.385936 1.10764 0.1305 17.174 0.18786
227 HSCJ011354+004302 18.472977 0.717196 0.496 18.464 0.50126
228 HSCJ011426+002933 18.606623 0.49243 0.34 22.771 0.35461
229 HSCJ011434+004137 18.642278 0.693564 0.3387 16.802 0.35476
230 HSCJ011457+012431 18.737985 1.408716 0.3507 36.119 0.36978
231 HSCJ011622+013017 19.093597 1.504616 0.246 20.761 -1.0
232 HSCJ011624-000801 19.101932 -0.133502 0.178 29.694 0.17662
233 HSCJ011743-002624 19.427931 -0.43992 0.21 16.446 -1.0
234 HSCJ011752+002500 19.467297 0.416798 0.4842 15.175 -1.0
235 HSCJ011812+010211 19.548559 1.036373 0.2528 28.048 0.27791
236 HSCJ011939+023041 19.911227 2.511426 0.2557 16.609 -1.0
237 HSCJ011943+010512 19.928253 1.086685 0.2601 16.943 -1.0
238 HSCJ012054-003133 20.227061 -0.525887 0.1042 17.527 0.09287
239 HSCJ012128+000119 20.365077 0.021941 0.204 19.227 0.23207
240 HSCJ012151-001131 20.463312 -0.191931 0.194 16.18 0.20005
241 HSCJ012203+002004 20.511045 0.334506 0.172 67.593 0.17452
242 HSCJ012237-004850 20.652374 -0.813909 0.1674 29.644 0.17263
243 HSCJ012324+013903 20.849052 1.650934 0.126 17.175 -1.0
244 HSCJ012349-003034 20.954948 -0.509412 0.2288 15.834 0.25393
245 HSCJ012517+022539 21.31948 2.427444 0.4175 15.764 0.40923
246 HSCJ012606+011338 21.526806 1.227109 0.2102 24.905 0.20932
247 HSCJ012629+003552 21.622131 0.59768 0.264 19.069 -1.0
248 HSCJ012714+002206 21.806761 0.368394 0.368 58.085 0.33799
249 HSCJ012716+013239 21.817071 1.544206 0.218 16.491 0.21094
